ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2024,RO,1100296,49.92,62.9831,100,44,51,23.87,47,25.39
2024,AC,1200351,16.28,30.347,0,36.72,16,8.04,33,8.36
2024,AM,1300839,29.17,50.9133,50,26.62,7,0.65,71,17.47
2024,AM,1302207,20.06,53.331,0,36.33,36,5.85,19,13.45
2024,PA,1501204,34.08,52.82,100,20.46,15,2.85,52,6.26
2024,PA,1505908,20.54,44.8193,0,32.96,29,7.69,72,5.72
2024,TO,1707702,33.71,58.2097,50,49.99,9,1.85,70,19.17
2024,TO,1711506,45.29,50.8875,100,41.38,11,12.93,43,58.77
2024,TO,1717008,35.01,68.5485,50,45.65,2,2.88,70,21.76
2024,MA,2101731,40.34,66.4865,100,30.83,2,6.4,41,17.21
2024,MA,2104107,44.39,62.9898,100,49.06,50,4.02,76,7.72
2024,MA,2109007,53.05,81.0044,100,55.71,66,26.19,70,8.16
2024,PI,2206951,39.4,50.1991,50,53.64,4,0.35,55,51.98
2024,PI,2209708,39.94,44.8935,100,47.82,1,10.04,10,27.76
2024,PI,2210003,47.18,71.7456,100,50.83,15,28.11,55,15.88
2024,PI,2210052,40.8,63.5476,50,49.56,8,0.1,70,30.57
2024,CE,2303501,65.35,95.4305,100,57.6,67,43.73,79,20.95
2024,CE,2303659,41.15,65.4385,50,35.09,32,35.15,6,32.36
2024,CE,2304707,48.95,65.3529,100,32.86,61,9.14,71,16.18
2024,CE,2311959,37.75,60.2742,50,31.04,32,4.81,50,17.42
2024,RN,2401651,36.42,62.5172,0,19.24,63,14.71,57,63.48
2024,RN,2408102,80.11,99.9986,100,75.13,69,70.2,72,39.79
2024,RN,2411403,31.05,47.7975,50,34.97,43,6.79,45,11.77
2024,PB,2502706,47.49,97.986,0,53.57,35,0.18,67,35.45
2024,PB,2503555,29.5,38.4626,0,25.9,29,0.07,71,26.75
2024,PB,2512077,50.94,91.0633,50,36.96,13,23.42,65,24.27
2024,PB,2513109,29.93,56.2994,0,27.62,41,18.41,62,17.01
2024,PE,2605202,61.95,93.4749,100,56.24,35,32.36,49,15.26
2024,PE,2605509,49.74,99.4585,50,31.31,9,24,49,12.66
2024,PE,2606507,25.37,52.8642,0,58.23,4,3.41,15,17.04
2024,PE,2606903,36.65,63.8713,0,35.86,48,0.73,78,35.19
2024,PE,2613701,68.4,99.3649,100,55.13,65,28.1,63,25.9
2024,PE,2616100,27.31,58.3722,0,24.69,40,21.37,36,10.56
2024,AL,2707107,45.68,81.0416,50,47.59,45,12.64,58,19.52
2024,BA,2901155,60.08,91.9118,100,80.12,20,18.1,19,28.88
2024,BA,2902401,41.07,79.7963,50,45.08,6,12.53,39,17.53
2024,BA,2904209,35.36,48.1374,50,36.13,54,1.71,71,13.15
2024,BA,2906824,28.42,61.4003,0,44.65,59,0.21,70,18.01
2024,BA,2918506,50.76,83.426,100,42.98,45,19.62,50,17.69
2024,BA,2926202,22.85,52.5052,0,31.79,42,10.01,37,15.68
